consulta,plano,tentativa,tempo
inter_04,baseline,12,0.03373359999386594
inter_04,baseline,13,0.04045690002385527
inter_04,baseline,14,0.02931780001381412
inter_04,baseline,15,0.041325700003653765
inter_04,baseline,16,0.03563240001676604
inter_04,baseline,17,0.03492149995872751
inter_04,baseline,18,0.03300160000799224
inter_04,baseline,19,0.03336180001497269
inter_04,baseline,20,0.033169500005897135
inter_05,baseline,1,0.050686499977018684
inter_05,baseline,2,0.049810800002887845
inter_05,baseline,3,0.057340500003192574
inter_05,baseline,4,0.05059389997040853
inter_05,baseline,5,0.05173300002934411
inter_05,baseline,6,0.053249599994160235
inter_05,baseline,7,0.04916880000382662
inter_05,baseline,8,0.052645299991127104
inter_05,baseline,9,0.057830399950034916
inter_05,baseline,10,0.05161940003745258
inter_05,baseline,11,0.054199400008656085
inter_05,baseline,12,0.04862019995925948
inter_05,baseline,13,0.05323099996894598
inter_05,baseline,14,0.05753370001912117
inter_05,baseline,15,0.05222670000512153
inter_05,baseline,16,0.05280319997109473
inter_05,baseline,17,0.050760600017383695
inter_05,baseline,18,0.051982800010591745
inter_05,baseline,19,0.057109500048682094
inter_05,baseline,20,0.05244910001056269
inter_06,baseline,1,0.08882230002200231
inter_06,baseline,2,0.06952740001725033
inter_06,baseline,3,0.07169309997698292
inter_06,baseline,4,0.06861119996756315
inter_06,baseline,5,0.0734082999988459
inter_06,baseline,6,0.06947149999905378
inter_06,baseline,7,0.07423259998904541
inter_06,baseline,8,0.06777839997084811
inter_06,baseline,9,0.07228369999211282
inter_06,baseline,10,0.06858700001612306
inter_06,baseline,11,0.07192610000493005
inter_06,baseline,12,0.0702620999654755
inter_06,baseline,13,0.0707603000337258
inter_06,baseline,14,0.07024609996005893
inter_06,baseline,15,0.07042689999798313
inter_06,baseline,16,0.06672770000295714
inter_06,baseline,17,0.07134220004081726
inter_06,baseline,18,0.06326850003097206
inter_06,baseline,19,0.07009090000065044
inter_06,baseline,20,0.07245740003418177
inter_07,baseline,1,0.09125859994674101
inter_07,baseline,2,0.017394999973475933
inter_07,baseline,3,0.02433849999215454
inter_07,baseline,4,0.01840729999821633
inter_07,baseline,5,0.024816499964799732
inter_07,baseline,6,0.0181202000239864
inter_07,baseline,7,0.023356799967586994
inter_07,baseline,8,0.01809199998388067
inter_07,baseline,9,0.02081519999774173
inter_07,baseline,10,0.01845189998857677
inter_07,baseline,11,0.022487299982458353
inter_07,baseline,12,0.017353200004436076
inter_07,baseline,13,0.024309500004164875
inter_07,baseline,14,0.01896019995911047
inter_07,baseline,15,0.020228100009262562
inter_07,baseline,16,0.01842090004356578
inter_07,baseline,17,0.023603899986483157
inter_07,baseline,18,0.017353300005197525
inter_07,baseline,19,0.02065200003562495
inter_07,baseline,20,0.018797400000039488
inter_08,baseline,1,0.024200099986046553
inter_08,baseline,2,0.017944799968972802
inter_08,baseline,3,0.020497299963608384
inter_08,baseline,4,0.018603599979542196
inter_08,baseline,5,0.02392319997306913
inter_08,baseline,6,0.017443899996578693
inter_08,baseline,7,0.022145900002215058
inter_08,baseline,8,0.01959859998896718
inter_08,baseline,9,0.022429400007240474
inter_08,baseline,10,0.01747389999218285
inter_08,baseline,11,0.02065360004780814
inter_08,baseline,12,0.018347500008530915
inter_08,baseline,13,0.023825299984309822
inter_08,baseline,14,0.017317900026682764
inter_08,baseline,15,0.017408300016541034
inter_08,baseline,16,0.019113500020466745
inter_08,baseline,17,0.017922100028954446
inter_08,baseline,18,0.01716859999578446
inter_08,baseline,19,0.017307599948253483
inter_08,baseline,20,0.01882950001163408
inter_09,baseline,1,0.019319600018206984
inter_09,baseline,2,0.018032899999525398
inter_09,baseline,3,0.02432779996888712
inter_09,baseline,4,0.02146560000255704
inter_09,baseline,5,0.01940029999241233
inter_09,baseline,6,0.019852900004480034
inter_09,baseline,7,0.018089400022290647
inter_09,baseline,8,0.021912599971983582
inter_09,baseline,9,0.01795669994316995
inter_09,baseline,10,0.028711399994790554
inter_09,baseline,11,0.018129999982193112
inter_09,baseline,12,0.023372699972242117
